URN,Caption,Rights
urn:cite:shotimg:atl.ATL001,ATL Plate I:  drawing of text of all four sides of stele 1,Scanned from drawing in ATL vol. 1
urn:cite:shotimg:atl.ATL002,ATL Plate II:  diagram showing position of fragments of stele 1,Scanned from drawing in ATL vol. 1
urn:cite:shotimg:atl.ATL003,"ATL Plate III:  lists 1 and 2, obverse and right lateral faces",Scanned from drawing in ATL vol. 1
urn:cite:shotimg:atl.ATL004,ATL Plate IV: list 3 (obverse of first stele),Scanned from drawing in ATL vol. 1
urn:cite:shotimg:atl.ATL005,ATL Plate V:  list 4 (obverse of first stele),Scanned from drawing in ATL vol. 1
urn:cite:shotimg:atl.ATL006,ATL Plate VI:  list 5 (obverse of first stele),Scanned from drawing in ATL vol. 1
urn:cite:shotimg:atl.ATL007,ATL Plate VII:  list 7 (obverse of first stele),Scanned from drawing in ATL vol. 1
urn:cite:shotimg:atl.ATL008,ATL Plate VIII:  list 8 (obverse of first stele),Scanned from drawing in ATL vol. 1
urn:cite:shotimg:atl.ATL009,ATL Plate IX:  list 9 (reverse of first stele),Scanned from drawing in ATL vol. 1
urn:cite:shotimg:atl.ATL010,ATL Plate X:  list 10 (reverse of first stele),Scanned from drawing in ATL vol. 1
urn:cite:shotimg:atl.ATL011,ATL Plate XI:  list 11 (reverse of first stele),Scanned from drawing in ATL vol. 1
urn:cite:shotimg:atl.ATL014,ATL Plate XIV:  list 14 (left lateral face of first stele),Scanned from drawing in ATL vol. 1
urn:cite:shotimg:atl.ATL017,ATL Plate XVII:  diagram showing position of fragments of stele 2,Scanned from drawing in ATL vol. 1
urn:cite:shotimg:atl.atl-wmc0001,Detail from stele 2.,Released under terms of a Creative Commons Attribution-Share Alike 3.0 Unported by the photographer Marsyas (wmc filename: EPMA-IGI(3)259-272-Tribute_list-1.JPG)
urn:cite:shotimg:atl.atl-wmc0002,Overview of stele 1.,Released under terms of a Creative Commons Attribution-Share Alike 3.0 Unported by the photographer Marsyas (wmc filename: EPMA-IGI(3)259-272-Tribute_list-2.JPG)
urn:cite:shotimg:atl.atl-wmc0003,Detail from stele 1.,Released under terms of a Creative Commons Attribution-Share Alike 3.0 Unported by the photographer Marsyas (wmc filename: EPMA-IGI(3)259-272-Tribute_list-3.JPG)
urn:cite:shotimg:atl.atl-wmc0004,Overview of stele 2.,Released under terms of a Creative Commons Attribution-Share Alike 3.0 Unported by the photographer Marsyas (wmc filename: EPMA-IGI(3)259-272-Tribute_list_2-1.JPG)
urn:cite:shotimg:atl.atl-wmc0005,Detail from stele 2.,Released under terms of a Creative Commons Attribution-Share Alike 3.0 Unported by the photographer Marsyas (wmc filename: EPMA-IGI(3)259-272-Tribute_list_2-2.JPG)
urn:cite:shotimg:atl.DSCN8648,Stele inscribed on both sides with accounts of the treasurers of the sacred funds of Athena from the Acropolis (418/17-415/14 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8660,Stele inscribed on both sides with successive entries of the handing over of sacred ex-votos in the Parthenon by the treasurers of Athena to their successors (434/3-412/1 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8645,Stele inscribed on both sides with accounts of the treasurers of the sacred funds of Athena from the Acropolis (418/17-415/14 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8656,Stele inscribed on both sides with successive entries of the handing over of sacred ex-votos in the Parthenon by the treasurers of Athena to their successors (434/3-412/1 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8667,Stele with the text of a treaty between Athenians and Milesians (450/49 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8690,Stele with accounts of the public accountants (logistai) regarding the handling of the sacred money of Athena and of other gods by the treasurers (426/5-423/2 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8710,Part of a stele on which a decree of the Athenians was inscribed regulating the reassessment of the tribute to be paid by the allied cities (422/1 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.IMG_0813,Regulations for Miletus (450/49),Copyright Megan Whitacre; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8644,Stele inscribed on both sides with accounts of the treasurers of the sacred funds of Athena from the Acropolis (418/17-415/14 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8646,Stele inscribed on both sides with accounts of the treasurers of the sacred funds of Athena from the Acropolis (418/17-415/14 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8665,Part of a stele with an account of the treasurers of Athena concerning mostly war expenses for the expeditions to Macedonia and the Peloponnese (432/1 B.C),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8663,Part of a stele with an account of the treasurers of Athena concerning mostly war expenses for the expeditions to Macedonia and the Peloponnese (432/1 B.C),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8668,Stele with the text of a treaty between Athenians and Milesians (450/49 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8691,Stele with accounts of the public accountants (logistai) regarding the handling of the sacred money of Athena and of other gods by the treasurers (426/5-423/2 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8701,Decree of the Athenians regulating the reassessment and increase of the tribute paid by the allied cities (425/4 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.IMG_0814,Regulations for Miletus (450/49),Copyright Megan Whitacre; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8647,Stele inscribed on both sides with accounts of the treasurers of the sacred funds of Athena from the Acropolis (418/17-415/14 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8654,Stele inscribed on both sides with successive entries of the handing over of sacred ex-votos in the Parthenon by the treasurers of Athena to their successors (434/3-412/1 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8693,Stele with accounts of the public accountants (logistai) regarding the handling of the sacred money of Athena and of other gods by the treasurers (426/5-423/2 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8708,1st stele of the tribute lists (454/3-440/39 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8709,Part of a stele on which a decree of the Athenians was inscribed regulating the reassessment of the tribute to be paid by the allied cities (422/1 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.6849,The Springhouse (437/6?),Copyright Christine Roughan; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.IMG_0815,Regulations for Miletus (450/49),Copyright Megan Whitacre; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.IMG_0816,The Collectors of Tribute (426/5),Copyright Megan Whitacre; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8655,Stele inscribed on both sides with successive entries of the handing over of sacred ex-votos in the Parthenon by the treasurers of Athena to their successors (434/3-412/1 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8657,Stele inscribed on both sides with successive entries of the handing over of sacred ex-votos in the Parthenon by the treasurers of Athena to their successors (434/3-412/1 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8664,Part of a stele with an account of the treasurers of Athena concerning mostly war expenses for the expeditions to Macedonia and the Peloponnese (432/1 B.C),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8669,Stele with the text of a treaty between Athenians and Milesians (450/49 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8700,"3rd stele with the tribute lists of the year 430/29 B.C., which was the 25th year of the board of Hellenotamiai since 454 B.C., when the league treasury was transferred from Delos to Athens",Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8702,Decree of the Athenians regulating the reassessment and increase of the tribute paid by the allied cities (425/4 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8658,Stele inscribed on both sides with successive entries of the handing over of sacred ex-votos in the Parthenon by the treasurers of Athena to their successors (434/3-412/1 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8689,Stele with accounts of the public accountants (logistai) regarding the handling of the sacred money of Athena and of other gods by the treasurers (426/5-423/2 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.IMG_0817,The Collectors of Tribute (426/5),Copyright Megan Whitacre; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8659,Stele inscribed on both sides with successive entries of the handing over of sacred ex-votos in the Parthenon by the treasurers of Athena to their successors (434/3-412/1 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8661,Part of a stele with an entry of the handing over of precious ex-votos in the pronaos (vestibule of the Parthenon) by the treasurers of Athena to their successors (411/0 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8703,Decree of the Athenians regulating the reassessment and increase of the tribute paid by the allied cities (425/4 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8704,Decree of the Athenians regulating the reassessment and increase of the tribute paid by the allied cities (425/4 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.IMG_0818,The Collectors of Tribute (426/5),Copyright Megan Whitacre; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8662,Part of a stele with an entry of the handing over of precious ex-votos in the pronaos (vestibule of the Parthenon) by the treasurers of Athena to their successors (411/0 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8666,Stele with the text of a treaty between Athenians and Milesians (450/49 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8670,Stele with the text of a treaty between Athenians and Milesians (450/49 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8692,Stele with accounts of the public accountants (logistai) regarding the handling of the sacred money of Athena and of other gods by the treasurers (426/5-423/2 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8705,1st stele of the tribute lists (454/3-440/39 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8711,Part of a stele on which a decree of the Athenians was inscribed regulating the reassessment of the tribute to be paid by the allied cities (422/1 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.IMG_0819,The Collectors of Tribute (426/5),Copyright Megan Whitacre; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.IMG_0820,The Collectors of Tribute (426/5),Copyright Megan Whitacre; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.IMG_0828,Athens and Lesbos (427/6),Copyright Megan Whitacre; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8671,Stele with the text of a treaty between Athenians and Milesians (450/49 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8699,"3rd stele with the tribute lists of the year 430/29 B.C., which was the 25th year of the board of Hellenotamiai since 454 B.C., when the league treasury was transferred from Delos to Athens",Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8706,1st stele of the tribute lists (454/3-440/39 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8707,1st stele of the tribute lists (454/3-440/39 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.IMG_0829,Athens and Lesbos (427/6),Copyright Megan Whitacre; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.IMG_0830,Athens and Lesbos (427/6),Copyright Megan Whitacre; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.phoros-m1934key,Identification of stones in reconstruction,Scanned from drawing in Merritt and West 1934
urn:cite:shotimg:atl.phoros-m1934pl2,Reconstruction drawing of inscription with restored text in red,Scanned from drawing in Merritt and West 1934
urn:cite:shotimg:atl.phoros-m1934pl2,Reconstruction of main section of decrees of IG 1(2) 63,Scanned from drawing in Merrit and West 1934
urn:cite:shotimg:atl.DSC_2943,Reassessment decree,CC by-sa
urn:cite:shotimg:atl.DSC_2945,Detail of reassessment decree,CC by-sa
urn:cite:shotimg:atl.DSC_2953,Detail of reassessment decree,CC by-sa
urn:cite:shotimg:atl.ATL020,"Second stele, reverse",Scanned from drawing in ATL vol. 1
urn:cite:shotimg:atl.ATL019-right,"Upper part of second stele, reverse",Scanned from drawing in ATL vol. 1
urn:cite:shotimg:atl.ATL022,"Reassessment decree, restorations in red",Scanned from drawing in ATL vol. 1
urn:cite:shotimg:atl.DSC_2936,Reassessment decree of 425 BCE,CC share-alike
urn:cite:shotimg:atl.DSC_2952,Stele 2 obverse overview,Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_2912,Stele 1 left lateral face (stone 141),Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_5238,"Stele 1 obverse face (stones 63,64,65,66)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_5251,Stele 1 reverse face (stone 139),Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
